step,cafe_frobenius_norm,cafe_normalized_energy,passive_frobenius_norm,passive_normalized_energy,persistent_norm,working_norm,scratchpad_norm,unbounded_energy
32600,0.02338,0.00013,0.03286,0.00018,0.01858,0.01219,0.00728,999999.0
32800,0.02832,0.00016,0.03354,0.00019,0.02222,0.01475,0.00953,999999.0
33000,0.02244,0.00012,0.03245,0.00018,0.01758,0.01163,0.0077,999999.0
33200,0.02495,0.00014,0.03212,0.00018,0.01978,0.01303,0.00784,999999.0
33400,0.02122,0.00012,0.03272,0.00018,0.01644,0.01187,0.00627,999999.0
33600,0.02688,0.00015,0.0329,0.00018,0.0209,0.01488,0.00802,999999.0
33800,0.02837,0.00016,0.03267,0.00018,0.0225,0.01456,0.0093,999999.0
34000,0.02983,0.00016,0.03271,0.00018,0.02302,0.01638,0.00959,999999.0
34200,0.02663,0.00015,0.03267,0.00018,0.02117,0.01412,0.00783,999999.0
34400,0.02593,0.00014,0.0327,0.00018,0.02041,0.01365,0.00831,999999.0
34600,0.02979,0.00016,0.03242,0.00018,0.02321,0.01609,0.00946,999999.0
34800,0.02387,0.00013,0.03282,0.00018,0.01896,0.01226,0.00777,999999.0
35000,0.02652,0.00015,0.03251,0.00018,0.02074,0.01443,0.00806,999999.0
35200,0.02947,0.00016,0.03309,0.00018,0.0231,0.01661,0.00769,999999.0
35400,0.02351,0.00013,0.03354,0.00019,0.01862,0.01245,0.00714,999999.0
35600,0.02667,0.00015,0.03329,0.00018,0.02111,0.0141,0.00816,999999.0
35800,0.02434,0.00013,0.03302,0.00018,0.01917,0.01293,0.00762,999999.0
36000,0.02875,0.00016,0.03221,0.00018,0.02234,0.01539,0.0095,999999.0
36200,0.02223,0.00012,0.033,0.00018,0.017,0.01241,0.00714,999999.0
36400,0.02782,0.00015,0.03327,0.00018,0.02125,0.01527,0.00945,999999.0
36600,0.02345,0.00013,0.03254,0.00018,0.01836,0.01262,0.00732,999999.0
36800,0.01974,0.00011,0.03239,0.00018,0.01497,0.01131,0.00613,999999.0
37000,0.02714,0.00015,0.03294,0.00018,0.02105,0.01467,0.00886,999999.0
37200,0.01984,0.00011,0.0323,0.00018,0.01566,0.01086,0.00551,999999.0
37400,0.02338,0.00013,0.03249,0.00018,0.01785,0.01335,0.00707,999999.0
37600,0.02549,0.00014,0.03289,0.00018,0.01953,0.01451,0.0076,999999.0
37800,0.02564,0.00014,0.03358,0.00019,0.02026,0.01348,0.00805,999999.0
38000,0.02201,0.00012,0.03252,0.00018,0.01752,0.01123,0.00718,999999.0
38200,0.02532,0.00014,0.03193,0.00018,0.01907,0.01409,0.00889,999999.0
38400,0.02468,0.00014,0.03355,0.00019,0.01933,0.01353,0.00722,999999.0
38600,0.02131,0.00012,0.03321,0.00018,0.01669,0.01153,0.00653,999999.0
38800,0.01979,0.00011,0.03323,0.00018,0.01537,0.01072,0.00638,999999.0
39000,0.02433,0.00013,0.03261,0.00018,0.01946,0.0127,0.0072,999999.0
39200,0.02588,0.00014,0.03272,0.00018,0.02044,0.01403,0.00741,999999.0
39400,0.01781,0.0001,0.03298,0.00018,0.01439,0.00927,0.00492,999999.0
39600,0.0246,0.00014,0.03241,0.00018,0.01926,0.01244,0.00892,999999.0
39800,0.02322,0.00013,0.03305,0.00018,0.01829,0.01256,0.00682,999999.0
40000,0.01856,0.0001,0.03365,0.00019,0.01424,0.01051,0.0056,999999.0
40200,0.02318,0.00013,0.03267,0.00018,0.0185,0.01193,0.00728,999999.0
40400,0.01847,0.0001,0.03268,0.00018,0.01478,0.00964,0.00545,999999.0
40600,0.02289,0.00013,0.0326,0.00018,0.01775,0.01275,0.00683,999999.0
40800,0.02005,0.00011,0.03336,0.00018,0.01554,0.01102,0.00626,999999.0
41000,0.01698,9e-05,0.03361,0.00019,0.01357,0.00899,0.00482,999999.0
41200,0.02997,0.00017,0.03179,0.00018,0.02313,0.01603,0.01032,999999.0
41400,0.02975,0.00016,0.0323,0.00018,0.02254,0.01573,0.01139,999999.0
41600,0.02942,0.00016,0.03325,0.00018,0.02344,0.01546,0.00879,999999.0
41800,0.03286,0.00018,0.03297,0.00018,0.0259,0.0177,0.00976,999999.0
42000,0.02984,0.00016,0.03251,0.00018,0.02303,0.01655,0.00928,999999.0
42200,0.03137,0.00017,0.03247,0.00018,0.02421,0.01705,0.01034,999999.0
42400,0.02331,0.00013,0.03292,0.00018,0.0181,0.01246,0.00778,999999.0
42600,0.02865,0.00016,0.03186,0.00018,0.0221,0.01615,0.00848,999999.0
